,crop_margin,livestock_margin,interest_rate,sentiment,precipitation
0,0.2794521993010921,0.4055033804442412,0.17324878011667083,0.03830658137531456,0.09746666727804919
1,0.2777585953261165,0.2643113471461742,0.12513841867663433,0.09038571638084009,0.059136327136402725
2,0.354416474591059,0.15894171290933748,0.023270359046339006,0.00035886873844744526,0.1173761526959471
3,0.32566420321413464,0.0021611384603383893,0.05307318893409971,0.03199777654442977,0.09458694942807824
4,0.38560243545145206,0.05996715723972463,0.09168815337971281,0.008277729580688929,0.02399576403346252
5,0.346468593636487,0.06176410361380406,0.034141142022667686,0.06821202643289223,0.13037643717288794
6,0.36571467171662186,0.04506066146594846,0.001419463493234101,0.023057140047581328,0.04984143352136432
7,0.30551401305735887,0.0038737502611876575,0.08160814675457709,0.05212261730496739,0.010578957296361963
8,0.3007971436308896,0.038500616518127986,0.16234110412841377,0.022091792684599522,0.08843006531688714
9,0.3308088503864997,0.07652086447257135,0.2647862543037492,0.08729809994784579,0.021198210879200034
10,0.37589316097071995,0.11780506322751493,0.30388447072740693,0.003618285479694207,0.015811150439039134
11,0.32751103046275204,0.12936367598433623,0.2787043592981339,0.01457189304034811,0.1144827128940834
12,0.25835932524792,0.23040129227475104,0.209610358701585,0.08816441913777795,0.048270713351127585
